									
		Match 1		Match 2		Match 3		Match 4	
Slot 1	3:30 p.m - 4:00 p.m	2015_Noida_Devils	5th class tigers	90 Minutes football club	Basava FC	allls stars	APJ United	bayern munech	Bharti Public School Sr. Mayur Vihar
	Changeover	10 mins = warmup							
		Match 5		Match 6		Match 7		Match 8	
Slot 2	4:10 p.m - 4:40 p.m	Attacker	bazingas	Black  Tigers Team	Black Panther	best fc delhi	BHARTI PUBLIC SCHOOL MAYUR VIHAR	Black Sprinters	Blackops
	Changeover	10 mins = warmup							
		Match 9		Match 10		Match 11		Match 12	
Slot 3	4:50 p.m -5:20 p.m	Black Hunters	BLACK PANTHERS	BULLZ FC	Classic VII FC	Black Tigers FC	Blue demons	Columban FC	DarkStars United
	Changeover	10 mins = warmup							
		Match 13		Match 14		Match 15		Match 16	
Slot 4	5:30 p.m - 6:00p.m	challenger champs	Classic Footballers	Delhi All Stars	Dream Team FC	CRY 1	delhi city fc	dreamkillers	Dwarka United FC
	Changeover	10 mins = warmup							
		Match 17		Match 18		Match 19		Match 20	
Slot 5	6:10 p.m - 6:40 p.m	Delhi dabang	CRY 2	eagale fighter	ELITE FC	DPS FC UNITED	Dream killers FC	EliteFC	faadu fc
	Changeover	10 mins = warmup							
		Match 21		Match 22		Match 23		Match 24	
Slot 6	6:50 p.m. - 7:20 p.m	AIR INDIA -1 (VASANT VIHAR)	AIR INDIA -2 (VASANT VIHAR)	A.B.F.C	AGNI	AIR INDIA -3 (VASANT VIHAR)	CBI JUNIOR A	Amrit Nagar Football Club	Aravali Strikers
	Changeover	10 mins = warmup							
		Match 25		Match 26		Match 27		Match 28	
Slot 7	7:30 p.m - 8:00 p.m	Cequin Girls	CONQUERING DEMONS	BARCA BOYS	Blackout FC	cskm	Daredevil R K Puram	BOSCO	Brotherz United FC
	Changeover	10 mins = warmup							
		Match 29		Match 30		Match 31		Match 32	
Slot 8	8:10 p.m - 8:40 p.m	delhistrikers	Dev Samaj Junior	Browns devils	CBI SR Team A Vasant vihar	DPS RK PURAM -1	Dream warriors	CHIRAG UNITED	Cr7
	Changeover	10 mins = warmup							
		Match 33		Match 34		Match 35		Match 36	
Slot 9	8:50 p.m - 9:20 p.m	DPS RK PURAM - 2	Elite Hawks	D-6 BLASTERS (V KUNJ)	DPS RK PURAM - 3	Extreme Footballers Siddhartha Enclave	Fas United	DPS RK PURAM - 4	
	Changeover	10 mins = warmup							
		Match 37		Match 38		Match 39		Match 40	
Slot 10	9:30 p.m - 10:00 p.m	FC AIIMS	FC Cambridge	Dev Samaj Senior	DMS RORKER sec 7	Furious 7	Impact (Gulmohar Park)	Dream Killers Madangir	Dx - Rising stars
